토질/암질/굴착심도/EL CAD 문자 검토
============================================================================================================================================

============================================================================================================================================
FILE: C-610 굴착계획 단면도 (5).dxf
hit count: 36

y=3094903.8 | x=-15536113.0 | layer=범례 | text=1. 본 설계는 대표 주상도를 참조하여 설계하였으므로, 공사중 지층 조건 및 지하수 조건이 설계시와 상이할 경우 재검토를 실시하여야 한다.
y=3093958.7 | x=-15536104.0 | layer=범례 | text=2. 착공 전에 대지경계선, 지하층 구조물선, 지반고 등에 대해 현황측량을 반드시 실시하여 설계도면과의 상이점을 검토 후 착공하여야 한다.
y=3091348.2 | x=-15536113.0 | layer=범례 | text=4. 흙막이벽체의 근입깊이는 최소설계 근입깊이를 확보하여야 하며, 지지층에 확실하게 설치될 수 있도록 관리하여야 한다.
y=3060632.3 | x=-15467577.3 | layer=-$$굴착심도 | text=EL(+)41.05
y=3060245.8 | x=-15503615.3 | layer=주상도 | text=EL.(+) 40.713
y=3060152.4 | x=-15529387.3 | layer=-$$굴착심도 | text=EL(+)40.57
y=3060020.6 | x=-15469292.6 | layer=-$$굴착심도 | text=EL(+)40.50
y=3059152.3 | x=-15524620.7 | layer=-$$굴착심도 | text=EL(+)39.57
y=3058967.6 | x=-15464010.4 | layer=-$$굴착심도 | text=EL(+)40.05
y=3058843.6 | x=-15504934.9 | layer=Layer | text=매립층
y=3058524.2 | x=-15508307.0 | layer=주상도 | text=EL(+)39.46m
y=3058524.2 | x=-15448042.8 | layer=주상도 | text=EL(+)39.46m
y=3058518.8 | x=-15443351.0 | layer=주상도 | text=EL.(+) 38.986
y=3058411.0 | x=-15523208.4 | layer=-$$굴착심도 | text=EL(+)39.50
y=3057866.6 | x=-15444670.7 | layer=Layer | text=매립층
y=3057619.9 | x=-15517868.6 | layer=-$$굴착심도 | text=EL(+)38.09
y=3057016.6 | x=-15444670.7 | layer=Layer | text=퇴적층
y=3056193.6 | x=-15504934.9 | layer=Layer | text=퇴적층
y=3054969.8 | x=-15459975.8 | layer=-$$굴착심도 | text=EL(+)35.44
y=3054619.8 | x=-15499557.2 | layer=-$$굴착심도 | text=EL(+)35.09
