지층/토사 후보 도면 정밀 텍스트 추출 결과
========================================================================================================================

[대상 파일]
C:\UnityProjects\SafeAR_Wangsuk_Viewer\Assets\StreamingAssets\WangsukDXF\SourceDXF\unzipped\dxf\1.토공사\C-106~110 단지횡단면도(1)~(5).dxf
C:\UnityProjects\SafeAR_Wangsuk_Viewer\Assets\StreamingAssets\WangsukDXF\SourceDXF\unzipped\dxf\6.가시설공사\C-648 흙막이시공 및 해체 순서도 (1).dxf
C:\UnityProjects\SafeAR_Wangsuk_Viewer\Assets\StreamingAssets\WangsukDXF\SourceDXF\unzipped\dxf\단면도 모음.dxf
C:\UnityProjects\SafeAR_Wangsuk_Viewer\Assets\StreamingAssets\WangsukDXF\SourceDXF\unzipped\dxf\가시설 상세도 합본.dxf

[키워드 후보 텍스트]
------------------------------------------------------------------------------------------------------------------------
C-106~110 단지횡단면도(1)~(5).dxf | GH:41.04 | x=4799.4, y=2831.2, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:41.10 | x=4799.3, y=2776.3, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:41.23 | x=4799.3, y=2721.4, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:40.82 | x=4971.2, y=2831.0, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:40.53 | x=4971.9, y=2775.7, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:40.41 | x=4971.9, y=2720.6, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:40.98 | x=5135.8, y=2721.1, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:40.84 | x=5135.0, y=2831.0, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:41.93 | x=5307.6, y=2832.1, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:41.54 | x=5307.6, y=2776.7, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:41.15 | x=5307.6, y=2721.3, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:40.91 | x=5135.5, y=2776.1, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:40.80 | x=5472.4, y=2721.0, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:40.74 | x=5472.5, y=2775.9, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:40.68 | x=5472.5, y=2830.8, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:43.14 | x=5643.6, y=2833.3, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:42.74 | x=5643.6, y=2777.9, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:42.34 | x=5644.0, y=2722.5, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:40.61 | x=5809.0, y=2720.8, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | GH:40.57 | x=5808.3, y=2775.7, layer=@원지반, type=TEXT, source=modelspace
