text,x,y,layer,entity_type,source
49.145,-16003531.25915613,3256171.102302337,블록계획고점,BLOCK_TEXT,virtual_block
39.69,-15983072.122147255,3256538.5463351924,블록계획고점,BLOCK_TEXT,virtual_block
엄지말뚝을 H형강으로 적용 할 경우 KS F 4603에 적합한 제품을 사용하여야 한다.,-15727258.853438834,3256737.9707557755,Text,BLOCK_TEXT,virtual_block
남양주왕숙 A-6BL [2025.11. 셀파이엔씨(주) 시행],-16034393.954612609,3257144.6416145973,범례,BLOCK_TEXT,virtual_block
지하1층,-15681508.694208119,3257313.9673066996,Defpoint,BLOCK_TEXT,virtual_block
지하2층,-15681508.694208117,3257313.9673067005,Defpoint,BLOCK_TEXT,virtual_block
아파트,-15680819.020295076,3257313.967306701,Defpoint,BLOCK_TEXT,virtual_block
지하1층,-15681508.694208298,3257313.967306837,Defpoint,BLOCK_TEXT,virtual_block
지하2층,-15681508.694208298,3257313.967306838,Defpoint,BLOCK_TEXT,virtual_block
잡석콘크리트지정,-15973448.58340372,3257709.152138188,범례,BLOCK_TEXT,virtual_block
45.617,-15996949.243852518,3258096.0612195972,블록계획고점,BLOCK_TEXT,virtual_block
"엄지말뚝, 버팀대 및 띠장등에 사용되는 강재는 국가건설기준에서 정하는 품질수준에 적합하여야 하며,",-15727258.164280385,3258819.781399835,Text,BLOCK_TEXT,virtual_block
굴착계획 평면도,-15661785.58415685,3260037.696089413,TEXT-ER,TEXT,modelspace
※ 주 기 ※,-15707991.133371135,3260377.0457534874,Text,BLOCK_TEXT,virtual_block
40.617,-15987351.286373042,3260903.0546684507,블록계획고점,BLOCK_TEXT,virtual_block
40.569,-15912459.390233897,3261967.975193644,블록계획고점,BLOCK_TEXT,virtual_block
+49.90,-16029977.679271363,3262139.9992205193,LEVEL,BLOCK_TEXT,virtual_block
잡 석 지 정,-15969732.563304422,3262400.2760187783,범례,BLOCK_TEXT,virtual_block
": 탄성파시험공 (3공, H-11, 18, 30)",-16026699.422007076,3262572.068337787,범례,BLOCK_TEXT,virtual_block
토 류 판,-15724893.567128737,3264223.848563816,Text,BLOCK_TEXT,virtual_block
목 재,-15710972.290876463,3264223.848563816,Text,BLOCK_TEXT,virtual_block
T = 100mm,-15695420.876344105,3264223.848563816,Text,BLOCK_TEXT,virtual_block
도면명,-15668864.388504863,3265162.696089402,FTEXT,BLOCK_TEXT,virtual_block
SUBJECT TITLE,-15654864.38850487,3265162.696089402,FTEXT,BLOCK_TEXT,virtual_block
21M 도로,-15909271.807596609,3266582.6150730457,_CT_택지현황,BLOCK_TEXT,virtual_block
연립주택,-15954578.220171336,3267039.5405040104,_CT_택지현황,BLOCK_TEXT,virtual_block
지내력기초,-15969662.182869598,3267091.399898892,범례,BLOCK_TEXT,virtual_block
H-1~36,-16001689.05098987,3267263.194200921,범례,BLOCK_TEXT,virtual_block
본조사,-16030476.207109125,3267340.277946764,범례,BLOCK_TEXT,virtual_block
36공,-16017057.90063904,3267340.277946764,범례,BLOCK_TEXT,virtual_block
보 걸 이,-15724893.567130586,3267751.3869256494,Text,BLOCK_TEXT,virtual_block
ㄱ 형 강,-15711230.443052225,3267751.3869256494,Text,BLOCK_TEXT,virtual_block
ㄱ-100X100X7,-15696393.19292204,3267751.3869256494,Text,BLOCK_TEXT,virtual_block
SS275,-15678652.834999373,3267751.3869256494,Text,BLOCK_TEXT,virtual_block
605,-15652777.02152631,3269399.575905489,TEXT-ER,TEXT,modelspace
C,-15657010.960656637,3269411.426371028,Text,BLOCK_TEXT,virtual_block
-,-15654542.377635304,3269537.6960894,Text,BLOCK_TEXT,virtual_block
띠 장,-15724941.121479327,3271278.9252874595,Text,BLOCK_TEXT,virtual_block
H 형 강,-15710990.972944444,3271278.9252874595,Text,BLOCK_TEXT,virtual_block
SS275,-15678652.835000288,3271278.9252874595,Text,BLOCK_TEXT,virtual_block
H-300X300X10X15,-15697690.239138465,3271286.2404622906,Text,BLOCK_TEXT,virtual_block
말 뚝 기 초,-15969732.563304385,3271782.5237797215,범례,BLOCK_TEXT,virtual_block
구 분,-16031756.2162745,3272142.4535569674,범례,BLOCK_TEXT,virtual_block
비 고,-15999191.506783873,3272167.7729941253,범례,BLOCK_TEXT,virtual_block
홀 수,-16018104.780704865,3272267.2149802777,범례,BLOCK_TEXT,virtual_block
도면번호,-15668864.388504863,3272662.696089398,FTEXT,BLOCK_TEXT,virtual_block
