C-605 ANCHOR 길이/각도 검토
========================================================================================================================

[레이어 카운트]
  Anchor_1단                      6498
  ANCHOR                         2128

도형 변환 가능 ANCHOR count: 7718
length >= 1000 후보: 454
length < 1000 후보: 7264

[긴 ANCHOR 후보 length >= 1000 상위 100개]
001 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3367152.5) | type=LWPOLYLINE
002 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3365652.5) | type=LWPOLYLINE
003 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3364652.5) | type=LWPOLYLINE
004 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3358652.5) | type=LWPOLYLINE
005 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3357152.5) | type=LWPOLYLINE
006 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3355652.5) | type=LWPOLYLINE
007 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3354152.5) | type=LWPOLYLINE
008 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3352652.5) | type=LWPOLYLINE
009 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3351152.5) | type=LWPOLYLINE
010 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3349652.5) | type=LWPOLYLINE
011 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3348152.5) | type=LWPOLYLINE
012 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3346652.5) | type=LWPOLYLINE
013 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3345152.5) | type=LWPOLYLINE
014 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3360152.5) | type=LWPOLYLINE
015 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3361652.5) | type=LWPOLYLINE
016 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3345152.5) | type=LWPOLYLINE
017 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3343652.5) | type=LWPOLYLINE
018 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3342152.5) | type=LWPOLYLINE
019 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3340652.5) | type=LWPOLYLINE
020 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3339152.5) | type=LWPOLYLINE
021 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3337652.5) | type=LWPOLYLINE
022 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3336152.5) | type=LWPOLYLINE
023 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3334652.5) | type=LWPOLYLINE
024 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3333152.5) | type=LWPOLYLINE
025 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3333152.5) | type=LWPOLYLINE
026 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3331652.5) | type=LWPOLYLINE
027 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3330152.5) | type=LWPOLYLINE
028 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3328652.5) | type=LWPOLYLINE
029 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3327152.5) | type=LWPOLYLINE
030 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3325652.5) | type=LWPOLYLINE
031 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3324152.5) | type=LWPOLYLINE
032 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3322652.5) | type=LWPOLYLINE
033 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3321152.5) | type=LWPOLYLINE
034 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3321152.5) | type=LWPOLYLINE
035 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3319652.5) | type=LWPOLYLINE
036 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3318152.5) | type=LWPOLYLINE
037 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3316652.5) | type=LWPOLYLINE
038 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3315152.5) | type=LWPOLYLINE
039 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3313652.5) | type=LWPOLYLINE
040 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3312152.5) | type=LWPOLYLINE
041 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3310652.5) | type=LWPOLYLINE
042 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3309152.5) | type=LWPOLYLINE
043 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15981088.1, 3307652.5) | type=LWPOLYLINE
044 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3404652.5) | type=LWPOLYLINE
045 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3403152.5) | type=LWPOLYLINE
046 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3403152.5) | type=LWPOLYLINE
047 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3401652.5) | type=LWPOLYLINE
048 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3400152.5) | type=LWPOLYLINE
049 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3398652.5) | type=LWPOLYLINE
050 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3397152.5) | type=LWPOLYLINE
051 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3395652.5) | type=LWPOLYLINE
052 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3394152.5) | type=LWPOLYLINE
053 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3392652.5) | type=LWPOLYLINE
054 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3391152.5) | type=LWPOLYLINE
055 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3391152.5) | type=LWPOLYLINE
056 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3389652.5) | type=LWPOLYLINE
057 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3388152.5) | type=LWPOLYLINE
058 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3386652.5) | type=LWPOLYLINE
059 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3385152.5) | type=LWPOLYLINE
060 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3383652.5) | type=LWPOLYLINE
061 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3382152.5) | type=LWPOLYLINE
062 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3380652.5) | type=LWPOLYLINE
063 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3379152.5) | type=LWPOLYLINE
064 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3379152.5) | type=LWPOLYLINE
065 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3377652.5) | type=LWPOLYLINE
066 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3376152.5) | type=LWPOLYLINE
067 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3374652.5) | type=LWPOLYLINE
068 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3373152.5) | type=LWPOLYLINE
069 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3371652.5) | type=LWPOLYLINE
070 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3370152.5) | type=LWPOLYLINE
071 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3368652.5) | type=LWPOLYLINE
072 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3406152.5) | type=LWPOLYLINE
073 | layer=Anchor_1단 | len=12280.6 | angle=180.00 | center=(-15979678.1, 3407652.5) | type=LWPOLYLINE
074 | layer=Anchor_1단 | len=12280.6 | angle=-90.00 | center=(-15967557.5, 3298622.4) | type=LWPOLYLINE
075 | layer=Anchor_1단 | len=12280.6 | angle=-90.00 | center=(-15966057.5, 3298622.4) | type=LWPOLYLINE
076 | layer=Anchor_1단 | len=12280.6 | angle=-90.00 | center=(-15964557.5, 3298622.4) | type=LWPOLYLINE
077 | layer=Anchor_1단 | len=12280.6 | angle=-90.00 | center=(-15963057.5, 3298622.4) | type=LWPOLYLINE
078 | layer=Anchor_1단 | len=12280.6 | angle=-90.00 | center=(-15961557.5, 3298622.4) | type=LWPOLYLINE
079 | layer=Anchor_1단 | len=12280.6 | angle=-90.00 | center=(-15960057.5, 3298622.4) | type=LWPOLYLINE
080 | layer=Anchor_1단 | len=12280.6 | angle=-90.00 | center=(-15958557.5, 3298622.4) | type=LWPOLYLINE
081 | layer=Anchor_1단 | len=12280.6 | angle=-90.00 | center=(-15957057.5, 3298622.4) | type=LWPOLYLINE
